76,"Carpenter","Carpintero","ED,HS","Los carpinteros construyen las estructuras de soporte de madera para edificios y colocan accesorios finales, como gabinetes, puertas y escaleras."
77,"Carpet and Upholstery Cleaner","Limpiador de alfombras y tapizados","ED,HS","Los limpiadores de alfombras y tapizados emplean equipos especiales de limpieza para eliminar la suciedad y las manchas de tapetes, alfombras y muebles cubiertos en tela."
78,"Cartographer","Cartógrafo","AG,SC","Los cartógrafos miden, exploran y trazan los mapas de la superficie de la tierra."
79,"Cartoonist / Comic Illustrator","Caricaturista/Dibujante de historietas","AR","Los caricaturistas dibujan historietas y tiras cómicas para entretener, hacer publicidad o educar."
80,"Cashier","Cajero","AR","Los cajeros usan cajas registradoras para calcular el total de las cuentas de los clientes, reciben los pagos y dan cambio."
81,"Casting Director","Director de reparto","AR","Los directores de reparto buscan a personas talentosas para todo tipo de producciones, incluidas películas, comerciales de radio y obras de teatro."
82,"Caterer","Proveedor de servicios alimenticios","HT","Los proveedores de servicios alimenticios supervisan la preparación y el servicio de comidas en casamientos, fiestas y otros eventos especiales."
86,"Chef","Chef","HT","Los chefs elaboran platos y coordinan las actividades de la cocina en restaurantes, hoteles y otras instalaciones."
87,"Chemical Engineering Tech","Técnico en ingeniería química","HT","Los técnicos en ingeniería química ayudan a los ingenieros a diseñar y operar equipos y procesos que generan cambios en la materia física."
88,"Chemical Engineer","Ingeniero químico","SC","Los ingenieros químicos diseñan y operan equipos y procesos que generan cambios en la materia física (sólidos, líquidos y gases)."
89,"Chemist","Químico","SC","Los químicos son científicos que estudian los productos químicos y cómo interactúan entre sí."
90,"Child and Youth Worker","Asistente de minoridad","HS,LA","Los asistentes de minoridad brindan ayuda y orientación a niños y adolescentes con problemas emocionales, conductuales y de desarrollo."
91,"Chimney Sweep","Deshollinador de chimeneas","HS,LA","Los deshollinadores de chimeneas limpian y se ocupan del mantenimiento de chimeneas y sistemas de calefacción."
93,"Chiropractor","Quiropráctico","HE","Los quiroprácticos diagnostican y tratan trastornos relacionados con la columna vertebral y otras articulaciones, que incluyen dolores de espalda, de cuello y de cabeza."
94,"Circus Performer","Artista de circo","HE","Los artistas de circo entretienen al público con magia, juegos de malabares, acrobacias y otros números de circo."
95,"Civil Engineer","Ingeniero civil","AC,AG,SC,TR","Los ingenieros civiles colaboran en el diseño y la construcción de las estructuras que nos rodean, que incluyen edificios, puentes, represas, autopistas, ferrocarriles y cloacas."
96,"Civil Engineering Tech","Técnico en ingeniería civil","AC,AG,SC,TR","Los técnicos en ingeniería civil ayudan a los ingenieros civiles a desarrollar, diseñar y construir todo tipo de estructura desde casas hasta estadios."
97,"Civil Litigator","Litigante civil","LA","Los litigantes civiles son abogados que manejan los conflictos legales entre personas o empresas."
98,"Clergy","Clérigo","LA","Los clérigos son líderes espirituales que ofician ritos y servicios religiosos, guían a los fieles y promueven la fe."
99,"Clothing Manufacturer","Fabricante de ropa","LA","Los fabricantes de ropa dirigen las compañías que producen camisas, sacos, pantalones, cinturones y muchas otras cosas que usamos para vestirnos."
100,"Coast Guard","Guardacostas","LA","Los guardacostas patrullan nuestros océanos, lagos y ríos para que sean lugares seguros."
101,"Comedian","Comediante","LA","Los comediantes cuentan chistes, historias divertidas, realizan escenas de riesgo físico y hacen comedia para que la gente se ría."
103,"Community Worker","Asistente social","HS","Los asistentes sociales trabajan en programas de asistencia y servicio social a la comunidad que ayudan a las personas que lo necesitan."
104,"Composer","Compositor","AR","Los compositores crean música original, desde sinfonías y óperas hasta canciones de música pop."
105,"Computer Animator","Creador de animaciones computarizadas","AR,IT","Los creadores de animaciones computarizadas emplean tecnología de computación a fin de crear gráficos dinámicos para películas, espectáculos televisivos, videojuegos y otros proyectos."
107,"Computer Network Specialist","Especialista en redes informáticas","IT","Los especialistas en redes informáticas desarrollan, instalan y se ocupan del mantenimiento de las redes informáticas que conectan las computadoras entre sí."
108,"Computer Programmer","Programador de computadoras","IT","Los programadores de computadoras escriben, ponen a prueba, desarrollan y actualizan programas de software informático."
109,"Computer Support Person","Responsable de soporte informático","IT","Los responsables de soporte informático para computadoras se ocupan de la configuración, el mantenimiento y la reparación de sistemas informáticos."
110,"Computer Trainer","Instructor en informática","BU,ED,IT","Los instructores en informática enseñan a las personas a usar sistemas informáticos."
111,"Concrete Mason","Albañil especialista en hormigón","BU,ED,IT","Los albañiles especialistas en hormigón mezclan, vierten y alisan el hormigón que se utiliza para construir desde rascacielos hasta entradas para automóviles."
112,"Conservation Officer","Funcionario de servicios de conservación","AG,GO,LA","Los funcionarios de servicios de conservación patrullan y protegen parques y áreas naturales, y se aseguran de que nadie dañe el ambiente ni la flora y la fauna."
113,"Construction Tradesperson","Trabajador de la construcción","AG,GO,LA","Los trabajadores de la construcción trabajan como parte de un equipo y construyen desde casas hasta rascacielos."
114,"Convenience Store Operator","Empleado de minimercado","AG,GO,LA","Los empleados de minimercados venden productos a clientes y atienden minimercados."
115,"Cook","Cocinero","AG,GO,LA","Los cocineros elaboran platos en restaurantes, hoteles, escuelas, hospitales y otras instalaciones."
116,"Corporate / Commercial Lawyer","Abogado mercantil/comercial","LA","Los abogados comerciales se ocupan del aspecto legal de las operaciones y transacciones comerciales."
117,"Corporate Trainer","Instructor empresarial","BU,ED","Los instructores empresariales desarrollan y dictan cursos que les permiten a los empleados de la compañía mejorar sus aptitudes para el trabajo."
118,"Correctional Officer","Funcionario penitenciario","BU,ED","Los funcionarios penitenciarios supervisan y controlan a los reclusos, y así mantienen el orden en cárceles y prisiones."
119,"Costume Designer","Diseñador de vestuario","AR","Los diseñadores de vestuario trabajan en cada una de las etapas de la creación del vestuario para producciones tales como programas de televisión y obras de teatro."
120,"Courier / Messenger","Mensajero/Empleado de servicios de mensajería","AR","Los mensajeros entregan paquetes, documentos, cartas y otros artículos que se deben enviar rápidamente o entregar en mano."
121,"Court Clerk","Asistente judicial","AR","Los asistentes judiciales brindan apoyo administrativo en los juzgados; entre otras tareas, preparan los casos que irán a audiencia para garantizar que no haya inconvenientes."
122,"Craftsperson","Artesano","AR","Los artesanos diseñan y crean muchos tipos diferentes de artesanías y objetos, entre ellos, suéteres tejidos a mano, vajilla de arcilla y diseños en vitral."
123,"Crane Operator","Operador de grúas","AR","Los operarios de grúas controlan las máquinas que levantan objetos pesados o difíciles de manejar, y las desplazan adonde sea necesario."
124,"Criminal Lawyer","Abogado penalista","LA","Los abogados penalistas defienden o procesan a los acusados de delitos graves, como asesinatos, robos, agresiones o fraude."
125,"Criminologist","Criminólogo","GO,HS,LA","Los criminólogos estudian estadísticas de delitos para entender las causas y los efectos del acto criminal."
126,"Curator","Curador","AR,HT","Los curadores tienen a su cargo colecciones de arte y otros objetos, como gemas, insectos, artesanías y prendas históricas."
127,"Custodian","Conserje","AR,HT","Los conserjes se ocupan de la limpieza y el mantenimiento de escuelas, edificios de oficinas, hospitales y otros tipos de edificios."
128,"Customs Broker","Agente aduanero","BU,TR","Los agentes aduaneros ayudan a los clientes a comprender y transitar las normas y las regulaciones relacionadas con la entrada y salida de mercaderías del país."
130,"Dancer","Bailarín/Bailarina","BU,TR","Los bailarines transmiten historias, y expresan ideas, estados de ánimo y sentimientos al público a través del baile."
131,"Data Entry Clerk","Asistente a cargo del procesamiento de datos","BU,TR","Los asistentes a cargo del procesamiento de datos ingresan el texto y los datos de documentos en archivos electrónicos, hojas de cálculo o bases de datos."
132,"Database Developer","Desarrollador de bases de datos","IT","Los desarrolladores de bases de datos diseñan, instalan, actualizan y realizan el mantenimiento de sistemas informáticos que recopilan y organizan datos."
133,"Early Childhood Educator","Educador infantil","ED,HS","Los educadores infantiles cuidan y dan clases a bebés, niños pequeños y niños de preescolar."
134,"Dental Assistant","Asistente dental","ED,HS","Los asistentes dentales ayudan a los dentistas en el tratamiento de los pacientes."
135,"Dental Hygienist","Higienista dental","HE","Los higienistas dentales ayudan a mantener la salud dental de sus pacientes y les enseñan una higiene bucal adecuada."
136,"Dental Lab Tech","Técnico de laboratorio dental","HE","Los técnicos de laboratorio dental hacen y reparan aparatos dentales, como coronas, puentes y dentaduras."
137,"Dentist","Dentista","HE","Los dentistas ayudan a mantener y mejorar el aspecto y la salud de las piezas dentales de los pacientes."
139,"Desktop Publisher","Autoeditor","AR,IT,MK","Los autoeditores emplean software para dar formato a textos y gráficos de materiales impresos y electrónicas."
140,"Diesel Technician","Técnico en motores diésel","AR,IT,MK","Los técnicos en motores diesel mantienen y reparan motores de grandes vehículos y equipos industriales."
141,"Dietitian","Nutricionista","AG,HE,HS","Los nutricionistas brindan información y asesoramiento sobre alimentación y nutrición a particulares, organizaciones y compañías."
142,"Director","Director","AR","Los directores son expertos creativos y técnicos que toman los guiones y los convierten en obras de teatro, películas o programas de televisión."
